Type,Timestamp (UTC),Ticker,Direction,Strategy,Timeframe,Price,Gates Hit,Gates Total,Quality Tier,Quality Score,Order Action,Quantity,Limit Price,Execution Status,Gate Vector
WALL_NEW,2026-02-09T07:31:58.808Z,CIG,,DVTP SHORT,2m,0.03,1,9,D,11,,,,,"rule2_Fire=0; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=0; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_NEW,2026-02-09T09:16:03.990Z,TNON,,DVTP SHORT,2m,82,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:24:03.229Z,TNON,,DVTP SHORT,2m,80.89,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:26:02.688Z,TNON,,DVTP SHORT,2m,83,4,9,D,44,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:34:03.586Z,TNON,,DVTP SHORT,2m,82.07000000000001,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:36:01.764Z,TNON,,DVTP SHORT,2m,81.54,4,9,D,44,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_NEW,2026-02-09T09:37:26.500Z,INLF,,DVTP SHORT,2m,48.6,3,9,D,33,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_NEW,2026-02-09T09:38:01.886Z,CCHH,,DVTP SHORT,2m,72,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:40:06.991Z,CCHH,,DVTP SHORT,2m,70.99,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:42:01.600Z,CCHH,,DVTP SHORT,2m,72.23,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
